"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","symbol","entrez"
"ENSG00000188290",108.922127976716,2.0570638345631,0.196905312993841,10.4469696794187,1.51281875407844e-25,1.30538189681546e-24,"hes family bHLH transcription factor 4","HES4","57801"
"ENSG00000069812",3.15810817128513,2.95472164660346,1.29792491777338,2.2764965878553,0.0228163045971855,0.0419494382676298,"hes family bHLH transcription factor 2","HES2","54626"
"ENSG00000162490",12.974640930305,3.04770708206716,0.655648990796238,4.64838217529466,3.3454863244688e-06,1.01976788934894e-05,"dorsal inhibitory axon guidance protein","DRAXIN","374946"
"ENSG00000158825",13.8286362530918,-4.0443674573447,0.759755825117114,-5.3232463952761,1.01931526652383e-07,3.54391799906303e-07,"cytidine deaminase","CDA","978"
"ENSG00000020633",8.52787075188608,2.85925576503253,0.789746721514231,3.62047183880713,0.000294066257783624,0.000723772295794098,"RUNX family transcription factor 3","RUNX3","864"
"ENSG00000127423",20.8088303974424,-2.01706738833205,0.455301337769372,-4.43018111524587,9.41539788607308e-06,2.73588592359908e-05,"aurora kinase A and ninein interacting protein","AUNIP","79000"
"ENSG00000158008",82.7351085587211,-2.48788354918401,0.23588413885748,-10.5470573868774,5.24129428182765e-26,4.5816248591682e-25,"exostosin like glycosyltransferase 1","EXTL1","2134"
"ENSG00000162520",248.715147599884,-3.52266962028054,0.164601279604196,-21.4012286462853,1.30133331487481e-101,5.84727146177591e-100,"syncoilin, intermediate filament protein","SYNC","81493"
"ENSG00000092853",122.202137432252,-2.42411269643608,0.195217558876443,-12.4174931311908,2.100403474067e-35,2.49241114338159e-34,"claspin","CLSPN","63967"
"ENSG00000134690",309.413921089907,-3.19981705199659,0.139249076699003,-22.9790899002744,7.54517751975784e-117,4.16482495453899e-115,"cell division cycle associated 8","CDCA8","55143"
"ENSG00000163909",6.72067942828981,3.59781275780534,1.01124751179621,3.55779640081862,0.000373978999649164,0.000908322758211829,"hes related family bHLH transcription factor with YRPW motif like","HEYL","26508"
"ENSG00000117399",548.054729960495,-3.23340373493713,0.114651721709685,-28.2019640588092,5.53209469876332e-175,6.96854800601486e-173,"cell division cycle 20","CDC20","991"
"ENSG00000142945",300.535541619319,-2.95302462701478,0.138415331944882,-21.3345197061745,5.42992871586502e-101,2.43241001259631e-99,"kinesin family member 2C","KIF2C","11004"
"ENSG00000162415",21.4798159246607,2.82989198170781,0.486504417846006,5.81678578426303,5.99899389953019e-09,2.29823686226348e-08,"zinc finger SWIM-type containing 5","ZSWIM5","57643"
"ENSG00000085999",49.8295652262928,-2.88281485182448,0.320875977054883,-8.9842028009825,2.60616723303244e-19,1.74510189370432e-18,"RAD54 like","RAD54L","8438"
"ENSG00000123080",131.552292323887,-2.7571401890218,0.201695674815988,-13.6698032396441,1.53810519595259e-42,2.21806207220638e-41,"cyclin dependent kinase inhibitor 2C","CDKN2C","1031"
"ENSG00000085832",605.654170098824,-2.08679697721731,0.085810700621939,-24.3186101744027,1.24600769056855e-130,8.82868333826888e-129,"epidermal growth factor receptor pathway substrate 15","EPS15","2060"
"ENSG00000085840",62.6028396919314,-2.54031934737213,0.268609359551666,-9.45730019092468,3.15996551716929e-21,2.32277166045093e-20,"origin recognition complex subunit 1","ORC1","4998"
"ENSG00000162599",31.0763295811351,-2.06564101994385,0.363228524589481,-5.68689097938667,1.29372987045505e-08,4.84918383285007e-08,"nuclear factor I A","NFIA","4774"
"ENSG00000024526",333.252157523288,-2.83279348073094,0.125335213693652,-22.6017365531043,4.16660572198442e-113,2.20098333801457e-111,"DEP domain containing 1","DEPDC1","55635"
"ENSG00000117069",23.9649851762818,-2.25416772623379,0.42980147419452,-5.24467192779705,1.56560655385767e-07,5.3660254397103e-07,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","ST6GALNAC5","81849"
"ENSG00000171517",75.7468133455321,3.35502729994933,0.29341082527857,11.4345723160146,2.80917479544767e-30,2.80688936510561e-29,"lysophosphatidic acid receptor 3","LPAR3","23566"
"ENSG00000137975",33.5214982464307,3.78953533144023,0.473173305309945,8.00876822279302,1.15863033290345e-15,6.58538135222951e-15,"chloride channel accessory 2","CLCA2","9635"
"ENSG00000117228",682.433310695606,-2.205411880696,0.0980998845573221,-22.481289255823,6.327489037805e-112,3.27208889260246e-110,"guanylate binding protein 1","GBP1","2633"
"ENSG00000162645",89.9913078872337,-2.32236783016528,0.220774910601192,-10.5191655330818,7.04951468141623e-26,6.13678366064456e-25,"guanylate binding protein 2","GBP2","2634"
"ENSG00000137962",747.210466132633,-2.18043253928494,0.0923899176710896,-23.6003299304512,3.82416658746534e-123,2.37808300278752e-121,"Rho GTPase activating protein 29","ARHGAP29","9411"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982935,-40.3775625252709,0,0,"calponin 3","CNN3","1266"
